,timestamp,query,conversationId,Subjectivity,Polarity,Sentiment,emotion_recognized
0,2021-03-23T18:44:33.303706420Z,cancel,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
1,2021-03-23T18:44:33.265263898Z,cancel,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
2,2021-03-23T18:44:28.782588770Z,Do i need to take original documents or photocopy is enough?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
3,2021-03-23T18:44:28.552189587Z,take original documents or photocopy is enough,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
4,2021-03-23T18:44:28.542482106Z,need to take original documents or photocopy is enough,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
5,2021-03-23T18:44:28.537970719Z,take original documents or photocopy is enough,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
6,2021-03-23T18:44:28.537939540Z,need to take original documents or photocopy is enough,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
7,2021-03-23T18:44:28.346636373Z,Do i need to take original documents or photocopy is enough?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
8,2021-03-23T18:44:28.337901566Z,Do i need to take original documents or photocopy is enough?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.625,0.1875,Positive,neutral
9,2021-03-23T18:44:22.868066026Z,Is there any facility to playground,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,not satisfied
10,2021-03-23T18:44:22.568526059Z,Is there any facility to playground,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,not satisfied
11,2021-03-23T18:44:22.559702290Z,Is there any facility to playground,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,not satisfied
12,2021-03-23T18:44:17.733702407Z,Can i apply online for admssion?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
13,2021-03-23T18:44:17.416354369Z,Can i apply online for admssion?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
14,2021-03-23T18:44:17.397089051Z,Can i apply online for admssion?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
15,2021-03-23T18:44:09.224407504Z,What documents are required while taking admission?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,excited
16,2021-03-23T18:44:08.948865671Z,what are the document required for admission,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
17,2021-03-23T18:44:08.943604411Z,documents required to take admission in,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
18,2021-03-23T18:44:08.942069621Z,documents required to take admission in,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
19,2021-03-23T18:44:08.936987712Z,what documents required for admission,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
20,2021-03-23T18:44:08.933947252Z,what are the document required for admission,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
21,2021-03-23T18:44:08.926702130Z,what documents required for admission,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,neutral
22,2021-03-23T18:44:08.760168761Z,What documents are required while taking admission?,ABwppHFytFmvILim0c05ICIzUW4olsNOACwPAt7ffxuz8nz-759f5hqxY3qMNLaNvvFlMlfAwn8RKEyJVCvvqOGLfNCe00wUQuGBah8,0.0,0.0,Neutral,excited
